Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
i hate racket,Pretty challenging course for someone coming out of a standard high school curriculum. Bunch of theorems that you need to know when and where to apply. Logical thinking this course taught is useful throughout your undergrad degree,"The midterm was pretty hard, and the final was easier to compensate","Pretty easy proofs course coming from a non-proof heavy background. Just do the weekly assignments and understand them (i.e. don't just get the answers from someone else, do them yourself), and lots of practice outside of that.","taught terribly, seems so unorganized and the actual midterm/exam questions are different to the ones you use on pearson.",Honestly a really straightforward and boring class. Reading the textbook was a much bigger help than attending lectures. Midterms were easy if you made notes and understood the concepts.,"When I say easy, take it in moderation. To many people, this will be the hardest 1A course you have.","Before midterms, super soft. After the first week of midterms, complete hell. Go to office hours for written assignments. Mobius assignments are free marks"
fuck i hate design recipe. your lose marks for nothing!,"Got a 60 by taking a shit on the tests, by far the most useless course in my undergrad. The ONLY things that I use are the proof techniques. All the theorems are complete garbage.",Too much memorization,"Do the assignments, practice, and you'll be fine.","Learning proofs was useful in the first half of the course, after that it was all useless bs. Assignments were all about finding little tricks, not actually testing the content.","Pretty difficult course, but very useful for future years.",It is definitely one of the most interesting courses in my first year as it is the course that has the most new content compared to the other courses. The course was certainly challenging though I'd give it that but I did learn a lot from it. The most important thing about the course I'd say is PRACTICE!,"Took this course online by Prof Wendy Roth, easy course, but felt 102 is easier than 101."
,Its not entirely easy but you learn really a lot from this course and most concepts are very fascinating. Personally I struggle more with complex numbers than number theory.,I passed with a 75 and still don't know anything about economics,Was a good course. Very interesting and stuff.,"I recommend finding a course with a language that is actually useful. Racket is dumb and never used anywhere. The majority of the course was quite easy, except a couple of concept checks that were RIDICULOUSLY HARD. i wish i had realized sooner that you get 10% of concept checks dropped from your grade. if you understand everything and are getting most things easily but you get stumped on one particular concept check, its probably not your fault and you should skip it, at least for now. the course was very well structured and predictable. expectations were clear and reasonable. it actually was designed to be a correspondence course, so it wasnt an online course that was rushed and slapped together for covid.","Fun, but the topics get too abstract nearing the end. The first half of the course was much more enjoyable and useful imo","It's the worst course ever, online especially. They are least interested to teach. They just provided the content to read by ourselves. I wouldn't suggest anyone to take this course online.","I really enjoyed this course online, being co-taught by 4 professors. There were lots of office hours available to help and all of the TA's and Profs in office hours were helpful and kind. While the programming language used is not useful elsewhere, I think it is easy to understand and helped get the point of the course across. In my opinion, the point of this course is to teach you to think about solving problems and the process to go through, as you are not creating ground-breaking programs. As a student with no prior programming experience, I found this course both useful and easy if you kept up with the content and got help as soon as you needed it. The course was organized well, and the built in questions made sure you were on the right track. The assignments are fair based on what you learn. Go in with an open mind and keep up with the content and you should be just fine."
,A course on proofs. It surveys topics in number theory to provide examples of theorems and their proofs. The content on things like modular arithmetic and complex numbers is less useful than the practice students get writing proofs.,Easiest,"If you want something to initially challenge your ability to understand and use logic, you will enjoy this course","Not very useful as an elective, but I suppose it gives a better understanding of how markets work. It was very easy - I just had to read lecture slides. The midterms and final exam are all multiple choice.","The material is quite different from any math I have seen before, but it is generally straightforward. Some of the assignment questions were hard.","Great course, I really enjoyed it. Not easy persay, but definitely not time consuming or difficult to understand.","Not a bird course online imo, instructors barely interact, and almost no practice material is given (outside of a textbook with bad quizzes)."
,A real math course. You will learn how to actually think mathematically since you probably don't know yet. An excellent course for the very foundation of math.,"Still get the chills from Econ 101, worst mark in my academic career.","The concepts are easy, but the applications are difficult. The problems on assignments and exams are fun, but challenging (and very rewarding when you finally get it right).","Not a bad course, just do the readings and use the study guide. The graphs and concepts may be a little difficult for those who have never taken economics, but overall it's an okay course with relatively interesting material.","When I was taking this class, I had a casual conversation with my professor during which he told me that, though it starts off slow, it is actually possibly the hardest class in the maths faculty. And so I went ahead and braced myself for what was to come. To this day, I have no idea what he was talking about, and his seemingly sincere words continue to baffle me. This class was an easy ninety, and quite enjoyable as well. All the little proofs they give out are so satisfying to solve -- the same tranquil pleasure of sudoku or a crossword. I'm half tempted to publish a little booklet of them. I think I'm going to miss this class a little.",hard but study then not hard but might still be hard,"Took online but in person classes. My prof, Koeller, was extremely helpful, definitely the best prof I've experienced thus far. The content is relatively interesting, but the weekly written assignments were made extremely difficult and were significantly harder than the content taught in class, almost to the point of absurdity. Aside from that though this is about as interesting as math can get."
,You gotta get used to proofs if you're a math student.,its okay if you do bad on the midterm. making a comeback on the final is 100% possible,Don't get too lost and give up at the beginning of the course. It gets easier and just do tons of practise questions.,"im lucky i passed this course, i would never want to this ever again....",Not my favorite class. Material was not interesting and the midterm/final were very difficult in comparison to the practice and quizzes,Amazing course! you'll either love it or hate it lol. Need to go to lectures and keep up with the assignments to do well. Textbook is very useful! Choose your prof wisely as that will impact your grade significantly.,"Olivia Mesta was a great professor, made the material extremely clear and easy to understand. Weekly quizzes on Aplia were time consuming but helped you understand the material better. Multiple choice exams were very easy."
,Proofs are a pretty big shift from high school math,Two words: WOKIA KUMASE,"Do the assignments and practice problems and you should be good on the course! The course notes are really useful so read them regularly. Lectures aren't the most useful, but they do give tips on how to use formulas and theorems.",Get the study guide. You'll thank me later.,Fun and useful course!,One of my favorite courses of all time. It's a breather from other courses since it really tests your logic and problem-solving skills. Each question feels like a fun puzzle.,Learn nothing but gain a super high mark. Good course for those who want to switch programs or apply coop. Everything is common sense so nothing needs to memory.
,"Took it online in W21 during COVID, concepts were taught in an abstract mathematical manner, which was fine (as a math major) however the concepts themselves just couldn't engage me enough to engage with the course. I'm sure if you put in minimum effort like most students you'll pass the course.",,"Not easy, but what I will say is that I loved just about every concept we covered. It was truly interesting, challenging (but not challenging to the point where I felt I couldn't do it). Really just one of my favourite courses I've ever taken.","Easy bird course for any student looking to fill an elective. Course goes over a lot of concepts in a super broad manner, interesting for anyone looking to learn a little bit about economics concepts/terminology. Passed by studying all the lecture notes a few days before the midterms/final. All multiple choice!",Great introduction to math@UW! LOVED this course.,Sedra Smith recommended me this course so I don't end up like one of those pig 4 students. I did very well and am happy about my life choices.,"The online version course is very well structured. You get some check your understanding questions after each topic which is very useful and helpful. There is 10 weekly quizzes and 10 weekly written assignments in this course. This course starts very easy but gradually becomes more difficult, especially after the midterm. However, it is a very interesting course!"
,Basic math knowledge.,,"One of my favourite courses. Learning to do proofs is very useful directly in later courses, but also is a good way to think about things past proofs in courses","With Prof Corey (Cornelis Van De Waal), I didn't have to look in the textbook or use the workbook. I studied straight from his slides. The only case which I would have used the books is if I were aiming for a perfect 100% in the course (which is doable), but I wasn't.",not too hard in terms of material. pretty boring especially for 3 hour lectures. not really useful for future econ classes but a good mark booster.,I had no programming experience before this class and it still wasn't too hard for the most part. A good elective. Some assignments were tricky but the exams were easy.,"Racket sucks, but the content of the course was easy enough to digest if you never did programming before. Seek help if you need it (early) and don't be afraid to talk to the TAs and profs!"
,the basic of math,,"A transition course from high school math to university math. Quite a lot of important proof techniques were taught and you have to really understand the concepts and apply them other than just simply memorizing them. Proof questions in the assignments are usually much more challenging than those in the midterm/exam so don't get discouraged if you cannot solve them. Do more practices and seek help and you will be fine. Be sure that you can solve all the computational problems in the exam as they are ""easy"" marks!","Very easy course and the material was interesting enough. Dry at some points but it's just memorization for those bits. You don't need to go to lectures, you can just read the textbook and do study guide questions. Was an easy 95+.","Interesting topic, first time seeing proofs like this maybe useful for upper year math courses. Very difficult in-person but online is much easier, grading is unfair and depends on the prof (some profs gave extra bonus questions, etc). Pick Anton’s class if you can he is the best.","The course was like an edible that's too strong. At first everything is great and you think it's soft but you just keep coming up. As it progresses, the intensity only increases and can become overwhelming and you may not like it. If you don't like your prof I would recommend skipping your lectures and using the mobius lessons. They are much more concise and you can be sure that you will not miss something covered on the assignments. Also the feedback part can be very similar to the quizzes. Overall it was very rewarding to finish the course, but just beware that it becomes more time consuming towards the end.","Took online, almost all multiple choice, a lot of questions are common sense"
,"What a bitch of a course. It doesn't matter how well you did in high school, expect 70s, 60s and even lower. Material spans from proofs to complex numbers. A lot of new material, so put the work in if you don't want to end up cramming before exams. This course is all about the hours you'll put in outside of class doing exercises. Keep doing proofs until your hand hurts.",,Make sure you memorize all of the propositions and theorems!,Wasted my elective on this when I could have taken much better courses.,Not easy if you have no previous knowledge on the subject. Went through chapters just about every other class so it was very fast paced,"Not an ""EASY"" course at all. Anyone commentating that is probably a Math/Eng student who is already familiar with coding through other courses. Since the midterm/exam is on paper, you have to be able to imagine what your code is going to be able to do without actually testing it like you do in your assignments! Speaking of assignment, they're bloody hard! No joke, it might take you an entire day to problem solve your way through them and that might not even be enough - incredibly frustrating course and not recommended unless you really want to study coding in the future. DR. Racket is not even applicable to most organizations. If you want to learn coding, just pick up something off Amazon or get a pdf through a friend - don't spend money here unless you're actually planning on continuing studies in CS.",You don't get the results of your quizzes which is sooo stupid. How should we understand where we went wrong if you don't tell us? I hated the quizzes but the discussions were easy marks if you post enough.
,"A large variety of mathematical theorems, but most importantly proofs.",,"Don't start assignments the night before they're due, stay on top of your work and make sure to understand key concepts as the course builds on itself. Should be a breeze if you play your cards right.",Interesting and easy. Make sure to do exercises after class. I dont think it is necessary to read the textbook unless you feel like to do so.,"Assignments are difficult, tests are easy, extremely useful",tough course. hardest course for my first term,"Weekly assignments are not worth much, but are difficult. Weekly labs. 1 midterm, 1 final. Doing the labs will greatly help with the assignments. Asking questions to TAs and prof will help a lot."
,A lot of Math that you probably didn't see in high school.,,"Learned a lot on how to properly write proofs and different mathematical ways of thinking. If you were even a bit serious about contest maths in high school, this course is an easy 90+. Also, Anton is just absolutely goated -- if you have the chance, join in on one of his lectures or even just read his lecture notes!","you gotta at least pay attention in class, or do homework","Make sure you go to most if not all classes, you will fall behind quick. This course involves a fairly light workload however the quizzes and exams you are required to write in this course can prove to be very difficult if you are not prepared.","The course was organized well this online term and most of the material serves as a good foundation for future math courses. The assignments got quite difficult and tedious towards the end, which was incredibly frustrating. If you put in the effort and go the extra mile to do things like attend office hours and do practice problems, you'll be in good shape grade-wise.",Extremely disengaging. It is asynchronous and hard to follow.
,Was really interesting to learn about RSA encryption and modular arithmetic in general.,,good course but requires alot of studying not as bird of a course as people think!,I really don't like the way this course was taught. I found the professor to be lacking in enthusiasm and lectures were literally reading the slides out loud.,Pretty interesting course. Got a bit dry towards the end and that made learning the material much harder as it was so boring.,"The only way to do bad in this course is by not managing ur time properly. This is a mistake I made when we had to work with modules. As long as u properly manage ur time and do assignments and concept checks well before the due date, you will have a great time in this course. Also try finding connections between assignments and try finding some real world applications of racket. Trust me Racket is very useful. The only criticism I have of this course is how the course is taught because it wasn't taught. (this is when I did online.) I had to understand all concepts by myself by basically reading texts. Although There was plenty of opportunity like office hours to ask for help, I only realized that towards the end of the term. Very unfortunate :(",go to office hours and practice
,"Wrap your head around all the different models used, and you'll do fine. If you like math, this is especially a breeze.",,Fascinating course that ramped up in difficulty after midterms.,Pretty straight forward and simple. I know a lot of people take ECON101 as a bird course and it really is.,i had conrad hewitt. i didn't learn anything in class because he went so fast. honestly the notes for this course are really well made. i just went to the tutorial centre at mkv to finish off all the assignments with a LOT of help. pulled a decent mark somehow tho,Good course for my first CS course.,last 10 points
,"Weekly assignments are killer, but just be sure to get help if you fall behind. The course is not something to take lightly - the concepts are far different from the ""algebra"" you learn in high school. Proofs, proofs, proofs! -- This takes practice and time; so be sure to set aside time to work on these outside of your normal schedule - you're going to need it!",,Easy course (if you get the right prof).,"Came in with no prior knowledge, skipped every lecture, studied 4h per exam, ended with low 90s.","Good introduction to proofs, which comes in handy for every other math course. Course is structured really well so assignments are very hard but very rewarding once you finally get it. Anton Mosunov is the GOAT",I read somewhere that this course basically teaches you how to math. I second that.,
,Was a good introduction to proofs in algebra.,,Interesting yet challenging course.,"As a science student with no background knowledge of business/economics, its not too easy. Yes the concepts are easy but if you dont read the textbook and actually put in effort you wont do better than high 70s.",One of my favorite classes of undergrad. It's very reasonable as long as you start the assignments early on your own and don't copy off of others,"This course feels more like a logic course. It covered a lot of topics, but the concept is very fun to learn(depending on your prof). The first part of the class was fairly intuitive. The second part gets more complicated, but it was still interesting overall.",
,"Essential course, taught me to think differently than before I took it.",,Do the Myeconlab practice problems and this course should be an easy 90% for you.,"Read the text book, do those multiple choice questions from the study guide then you will be all set.",Should be a breeze and quite fun if you love competition math and proofs. Loved the number theory the most.,"A solid, and worthwhile course to teach you the fundamentals of mathematical proofs. The hard work is definitely worth it!",
,"Easy course, understand all the proof and theories and you will get high mark in this course easily",,Eh course. Questions are straightforward. It's a textbook course.,Very dry and boring. All MC questions. Everything from the textbook. They try to trick you in some questions.,"I did not enjoy the course at all as I found the course to be so incredibly dull. Personally this honestly had to be one of the hardest courses, but I guess it really is prof dependent, as the final exams this term weren't even the same and didn't even cover the same material.","Can be difficult at times, but a very rewarding and fun course. Definitely made me like CS as a non-CS student! Start assignments early and definitely go to office hours. TAs and ISAs are very helpful.",
,"Interesting course because problem-solving is interesting. However, sometimes it gets boring (i.e. prime number stuff, modular artihmetic) because you know that you'll never apply this knowledge in real life (at least for me personally). Assignments are really annoying because sometimes they allow for basic hand-waving and other times they arbitrarily demand absolute rigour. As a result, you have to constantly browse Piazza to see what you can hand-wave and what you can't.",,Assignment questions take some thinking to get. Fun course that challenges us to think more.,This was a complete bird course. If you try at all it's an easy course to get over a 90 on. It's noticeably easier than econ 102 as well in every regard. Conclusions are often just common sense such as people buying less of something if it costs more.,"Pretty simple stuff, watch Khan Academy and you'll be way better off. Very prof. dependent IMO, if you get a shitty one, you gotta teach yourself",Very useful course. Anton is a great prof who actually cares about his students. It does get hard towards the end of the course but there is always help available when you need it.,
,Course basically taught itself,,"make sure you realllllyyyy listen during the lectures...if you miss something you'll have to go back and teach it to yourself. To be honest, I learned more from Khan Academy about economics than I did from this course. There are multiple midterms, a final, and numerous ""assignments"" (just quizzes on Learn that don't have a time limit), and they are all multiple choice. I personally did not find some of the concepts easy unless I reviewed them over and over again, but I also would zone out a lot during lectures so if you listen attentively and practice you should be okay. Clicker questions can boost your mark too and are good for teamwork, easy enough to do well on. Overall mediocre course","I took this class in F2020 thinking it was birdy, I guess I just suck ass at Economics. The weekly modules were dry for me, this is just my opinion I know quite a few people who find Econ fascinating. The professor's presence was non-existence. Overall a 5/10 for me.","The end of the course became quite tough but otherwise this was pretty manageable. Excellent professors and ISA's who always take our feedback and concerns into consideration to make the course experience better, including having office hours very late at night and very early in the morning. The online platform is also excellent and fun to use.",Assignments were generally easy. Do the practice problems throughout the term and go to res tutoring or the tutorial centre if you need help with a question. You need a 60% in the course to pass.,
,proof based math is a new way of thinking.,,"It is important to go to the lectures, because that is the determinant factor of your grade and how good you will understand the course content.","Very boring class, most people seemed to be playing Hearthstone. I would not recommend, unless this course is a requirement for you.",loved this course,"Teaches the fundamentals of higher education math, useful course but takes some time to understand the topics, but nothing was unbearably hard but good amount of work with the weekly assignments.",
,This course is totally a easy course in university.,,"I think MATH 135 is a crucial course if you're doing anything proof related. It lays the foundation for proofs, which will be needed throughout uni if you're doing any math related program. It's not the easiest course, so pay attention in lectures, ask question and practice, practice, practice.",Use the study guide! Very helpful.,Super fun and well run course. Great intro to proofs.,"As an extremely average student, who is not especially good at math, I found this course to be both very fun and a bit challenging. Some of the content is hard to understand at first, but as long as you keep grinding out practice problems and spamming questions on Piazza you will be fine! I strongly believe that ANY student that just puts in the time and effort will succeed.",
,UGH :( the horrors of this course will haunt me for the rest of my university life,,This course was my favorite in first year. It's really fun. I enjoyed writing codes a lot.,Bird course,Proofs were difficult but adequately prepares you for math courses in the future!,"Arguably the hardest course in 1A for any first year in the faculty of mathematics. You really have to put the work in to understand the concepts which are not exactly easy to grasp. Assignments take many hours, midterm was fairly easy and final was fair. Good luck to anyone taking this course, just remember not to panic, you will be fine, everyone goes through the same stage and eventually we all survive.",
,Incredibly helpful for anyone who wants to develop a more profound understanding of the fundamental components of algebra.,,Easily my favourite course at UW.,Boring course,"Easy pass, just go to class.",Genuinely easy course...,
,Welcome to Waterloo Math.,,make sure you do the study guide questions and go to review sessions and you will get a lot of practice questions from upper years,"they dont go into specifics with the maths which ironically makes it harder for me because it involves more memorization of results as opposed to memorization of concepts. might be good or bad for you instead, who knows","Chose professor carefully, one professor has an open-ended midterms and finals. Besides that, pretty much a bird course.",hard course. boring. make sure to keep up with the textbook readings otherwise you will struggle. take time to go over the chapter before the lecture cause the lectures only help if you know what youre going to learning. dont recommend taking it if its not mandatory.,
,,,"Perfect course to throw you into UW math, good luck!",Pay Attention and dont slack,"Pretty good online, First half is deceptively easy, second half gets much more difficult, especially exam. Pretty good introduction to proofs","i had to take this course twice and when i tell you i hated it, that is an understatement",
,,,Bird course. Best way to prepare for assessments is just to look at question banks since there isn't a whole lot of creativity in the questions that can be asked.,Boring but easy.,"Really interesting but tough material. If you can, go to the lectures of the highly rated professors. It's a completely different type of math from HS math and calculus so having a great prof introduce you to these new ideas can make it much more enjoyable. Oh and practice practice practice.",This course kills a part of me. It is quite possibly the driest course I have taken at Waterloo so far. The hardest part of this course is trying to muster the motivation to learn about the stupidest concepts ever.,
,,,Do the practice problems.,Bird course.,"this is the easiest class you'll have in loo, so enjoy!","I've never experienced a more terribly structured course than this one. You're basically left to teach yourself everything because the lectures are so incredibly boring, there's no way you're actually learning anything if you attend. Your time is much better spent not going, and just cramming at the end of the term & before the midterms of course. However, you're really just better off taking something that will actually teach you something useful. Don't take this as an elective if it's not required for your degree. If you're in math you'll have friends in this course, and you'll feel the urge to take it with them, but don't! You will thank yourself. It's such a waste of time and effort.",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
